Búsnúmer.;Einstaklingsnr. móður;Fæð.dagur móður;Nr. síð. sæð.;Dagar - sæð. til burðar;Naut;Burðardags.;Burður nr.;Faðir;Kyn;Gangur;Afdrif;Númer kálfs
1337341;201613373410755;29.11.2016;2;284;17049;31.12.2019;2;17049;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;201913373410907
1654981;201616549810471;17.04.2016;1;288;201716549810516;31.12.2019;2;201716549810516;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201916549810589
1441441;201714414410714;05.02.2017;2;288;12007;31.12.2019;2;12007;Naut;3. Erfiður burður-mikil burðarhjálp;1, Settur á;201914414410820
1534101;201615341010732;17.03.2016;;;;31.12.2019;2;201715344410654;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201915341010931
1360851;201513608510591;23.11.2015;2;451;17002;31.12.2019;2;201713609710469;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201913608510705
1524031;201615240310612;16.10.2016;1;288;17019;31.12.2019;2;17019;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;201915240310769
1525871;201615258711002;09.01.2016;1;286;17037;31.12.2019;3;17037;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201915258711248
1529411;201515294111867;28.12.2015;3;288;13027;31.12.2019;3;13027;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915294112314
1528861;201615288611896;24.08.2016;;;;31.12.2019;2;999999999919999;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915288612229
1375411;201613754110949;09.12.2016;1;287;201713754111004;31.12.2019;2;201713754111004;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201913754111134
1361731;201613617310618;19.11.2016;1;280;13017;31.12.2019;2;13017;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201913617310785
1360111;201713791110921;06.05.2017;;;;31.12.2019;1;201613601710942;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;201913601111018
1523171;201615231711100;21.05.2016;1;287;17037;31.12.2019;2;17037;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201915231711318
1534101;201615341010721;13.02.2016;;;;31.12.2019;2;201715344410654;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201915341010932
1261421;201612614210419;26.06.2016;1;281;14008;31.12.2019;1;14008;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201912614210542
1640531;201616405310884;11.03.2016;4;287;13022;31.12.2019;2;13022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916405311195
1572081;201615720810391;02.09.2016;1;289;17034;31.12.2019;2;17034;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;201915720810464
1526091;201515260911962;13.04.2015;1;285;17031;31.12.2019;3;17031;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201915260912387
1667161;201616671611356;10.08.2016;1;291;12001;31.12.2019;2;12001;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201916671611631
1523071;201615230710962;11.08.2016;1;287;13022;31.12.2019;2;13022;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201915230711142
1463141;201414683010341;24.07.2014;4;280;17046;31.12.2019;4;17046;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201914631411258
1591201;201515912010668;12.01.2015;4;286;10077;31.12.2019;3;10077;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201915912011087
1519131;201415191310758;28.05.2014;4;287;17023;31.12.2019;3;17023;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915191310957
1347391;201313473910402;12.09.2013;3;282;17047;31.12.2019;5;17047;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201913473910609
1662641;201316626410476;09.11.2013;1;282;17034;31.12.2019;5;17034;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916626410737
1528861;201315288611672;07.12.2013;1;637;16028;31.12.2019;5;999999999919999;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915288612230
1641861;201516338810475;15.04.2015;2;291;12090;31.12.2019;3;12090;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201916418612265
1459891;201414598910805;18.09.2014;2;290;13011;31.12.2019;4;13011;Naut;4. Mjög erfiður burður-aðstoð dýralæknis;2, Alinn til kjötframleiðslu;201914598911171
1591201;201315912010556;02.05.2013;1;288;12099;31.12.2019;5;12099;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201915912011088
1359531;201413595312051;28.08.2014;1;278;17038;31.12.2019;4;17038;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201913595313383
1668271;201416682710772;21.06.2014;2;286;14002;31.12.2019;4;14002;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1638691;201516386911427;31.05.2015;1;286;17038;31.12.2019;3;17038;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916386911641
1662641;201416626410492;26.01.2014;3;284;13027;31.12.2019;4;13027;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201916626410736
1638501;201416385010787;09.10.2014;3;279;17038;31.12.2019;4;17038;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916385011172
1534231;201215342310508;26.03.2012;1;290;12090;31.12.2019;6;12090;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;201915342310819
1641861;201216338810354;04.01.2012;1;286;17028;31.12.2019;5;17028;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201916418612266
1513581;201715135810721;29.09.2017;;;;31.12.2019;1;201715135810703;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201915135810849
1600841;201716008412594;06.07.2017;1;348;17011;31.12.2019;1;201716010510841;Naut;3. Erfiður burður-mikil burðarhjálp;9, Drapst í fæðingu;
1526461;201715264612653;18.08.2017;1;368;201715264612575;31.12.2019;1;201715264612575;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201915264613007
1600841;201716008412645;21.09.2017;1;302;16069;31.12.2019;1;16069;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;201916008413186
1638921;201616389210640;26.02.2016;2;285;13051;31.12.2019;2;13051;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201916389210868
1395671;201613956710481;30.05.2016;;;;31.12.2019;1;201613956710473;Naut;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1571521;201715715210910;22.01.2017;1;279;17045;31.12.2019;2;17045;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915715211085
1462881;201714628810360;28.10.2017;1;275;201714635910535;31.12.2019;1;201714635910535;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201914628810468
1452941;201714529410520;18.03.2017;1;237;201814529410535;31.12.2019;1;201814529410535;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201914529410582
1339081;201713390810583;15.01.2017;;;;31.12.2019;1;201713390810593;Naut;4. Mjög erfiður burður-aðstoð dýralæknis;2, Alinn til kjötframleiðslu;201913390810689
1654961;201716549610683;30.11.2017;;;;31.12.2019;1;201816620310808;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;201916549610790
1441061;201414410610500;06.09.2014;1;280;17022;31.12.2019;2;17022;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;201914410610621
1469061;201614690610263;27.11.2016;1;286;17040;31.12.2019;2;17040;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201914690610314
1525131;201615251310906;27.07.2016;4;278;17038;31.12.2019;2;17038;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;201915251311125
1663921;201616619510278;03.03.2016;;;;31.12.2019;2;999999999919999;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201916639211049
1663921;201416619510273;28.10.2014;;;;31.12.2019;2;201716639210767;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201916639211048
1527861;201515278610749;28.10.2015;2;282;13022;31.12.2019;3;13022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915278610895
1668351;201716683510758;09.02.2017;2;280;13022;31.12.2019;2;13022;Naut;2. Léttur burður-lítil burðarhjálp;3, Slátrað/í sláturhús;201916683510923
1465451;201514654510757;08.02.2015;1;286;11011;31.12.2019;3;11011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201914654511094
1463141;201414631410856;18.12.2014;1;284;17045;31.12.2019;4;17045;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201914631411257
1575801;201815758011512;02.01.2018;1;285;17034;31.12.2019;1;17034;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;201915758011640
1453711;201714537110408;25.10.2017;;;;31.12.2019;1;201714537110412;Naut;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1463271;201814632710569;15.02.2018;2;285;13027;31.12.2019;1;13027;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;201914632710625
1676291;201816762910882;22.01.2018;1;286;201716762910862;31.12.2019;1;201716762910862;Naut;1. Auðveldur burður-bar sjálf;4, Fæddist dauður;
1347631;201713476310476;07.12.2017;1;284;17034;31.12.2019;1;17034;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201913476310553
1465581;201714655810414;22.11.2017;1;279;17046;31.12.2019;1;17046;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201914655810484
1526291;201715262911216;15.10.2017;;;;31.12.2019;1;201715262911183;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201915262911339
1527741;201715267610731;14.12.2017;2;282;201715267610712;31.12.2019;1;201715267610712;Naut;1. Auðveldur burður-bar sjálf;7,  Drapst innan sólarhrings;
1591091;201415910910343;17.11.2014;2;282;17037;31.12.2019;3;17037;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1591091;201415910910343;17.11.2014;2;282;17037;31.12.2019;3;17037;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1591091;201415910910343;17.11.2014;2;282;17037;31.12.2019;3;17037;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1523281;201715232810680;28.09.2017;;;;31.12.2019;1;201715232810672;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201915232810825
1463451;201714634510360;27.10.2017;3;283;10077;31.12.2019;1;10077;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;201914634510498
1671041;201716710410794;17.10.2017;;;;31.12.2019;1;999999999919999;Kvíga;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201916710410860
1664831;201716648310935;27.08.2017;4;314;201816648310981;31.12.2019;1;201816648310981;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916648311082
1662031;201816620310813;03.02.2018;1;283;17038;31.12.2019;1;17038;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201916620310902
1362451;201513624510961;30.10.2015;1;279;12090;31.12.2019;3;12090;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;201913624511261
1362451;201513624510961;30.10.2015;1;279;12090;31.12.2019;3;12090;Kvíga;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;201913624511259
1667641;201616676410687;02.12.2016;1;277;17038;31.12.2019;2;17038;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201916676410854
1464761;201714647610498;10.01.2017;1;279;13022;31.12.2019;2;13022;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;201914647610636
