Búsnúmer.;Einstaklingsnr. móður;Fæð.dagur móður;Nr. síð. sæð.;Dagar - sæð. til burðar;Naut;Burðardags.;Burður nr.;Faðir;Kyn;Gangur;Afdrif;Númer kálfs
1463901;201514639010931;25.12.2015;1;293;13011;31.12.2020;4;13011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202014639011177
1667281;201516672811400;09.10.2015;2;295;12007;31.12.2020;4;12007;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016672811973
1337341;201513373410674;15.03.2015;1;283;15011;31.12.2020;4;15011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013373410948
1527771;201315277710659;05.01.2013;1;285;12007;31.12.2020;5;12007;Naut;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1527151;201515271510555;25.02.2015;1;287;12007;31.12.2020;4;12007;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015271510810
1572081;201415720810356;09.11.2014;1;289;18023;31.12.2020;4;18023;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202015720810486
1662741;201416627411321;19.10.2014;2;291;18025;31.12.2020;5;18025;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202016627411604
1525981;201315259810601;05.04.2013;1;286;18009;31.12.2020;5;18009;Naut;2. Léttur burður-lítil burðarhjálp;9, Drapst í fæðingu;
1634621;201516346210608;13.01.2015;3;286;13051;31.12.2020;5;13051;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016346210963
1717381;201417173810878;30.01.2014;1;293;13011;31.12.2020;5;13011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202017173811331
1664611;201516646110701;09.03.2015;1;285;13057;31.12.2020;5;13057;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202016646110924
1336261;201413362610278;28.09.2014;1;286;201813362610374;31.12.2020;5;201813362610374;Kvíga;2. Léttur burður-lítil burðarhjálp;6, Seldur;202013362610433
1651551;201116515510942;23.08.2011;1;289;13051;31.12.2020;7;13051;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016515511240
1396461;201813964611364;22.05.2018;;;;31.12.2020;1;201713964611344;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013964611412
1664921;201516649211101;08.11.2015;1;294;14031;31.12.2020;4;14031;Naut;2. Léttur burður-lítil burðarhjálp;8, Drapst innan 20 daga;
1633691;201816336910491;12.02.2018;;;;31.12.2020;1;201716336910485;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202016336910555
1529411;201713607310622;04.10.2017;1;283;13051;31.12.2020;2;13051;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202015294112429
1662031;201916620310859;11.02.2019;1;281;13057;31.12.2020;1;13057;Kvíga;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1519121;201915191210645;24.02.2019;1;277;18011;31.12.2020;1;18011;Naut;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1662641;201516626410528;24.08.2015;3;289;15014;31.12.2020;4;15014;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202016626410788
1670761;201716707612084;06.10.2017;3;288;18025;31.12.2020;2;18025;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202016707612256
1464331;201814643311054;17.08.2018;;;;31.12.2020;1;201814643311011;Naut;2. Léttur burður-lítil burðarhjálp;6, Seldur;202014643311224
1375411;201813754111055;25.10.2018;1;318;201813754111021;31.12.2020;1;201813754111021;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013754111202
1527241;201815272411037;01.07.2018;1;451;17050;31.12.2020;1;201815272411035;Naut;3. Erfiður burður-mikil burðarhjálp;3, Slátrað/í sláturhús;202015272411167
1379111;201813791110014;29.09.2018;;;;31.12.2020;1;201813791110993;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202013791110159
1600841;201816008412873;02.09.2018;1;282;18002;31.12.2020;1;18002;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016008413420
1665691;201616656910695;07.09.2016;6;299;18026;31.12.2020;2;18026;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202016656911011
1526151;201815261510857;01.11.2018;1;278;13022;31.12.2020;1;13022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015261511021
1379111;201813791110008;16.09.2018;;;;31.12.2020;1;201813791110993;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013791110161
1634491;201816344910557;20.09.2018;1;291;201816344910550;31.12.2020;1;201816344910550;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016344910617
1529411;201815294112184;07.11.2018;2;322;14050;31.12.2020;1;201815294112206;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015294112427
1651551;201816515511163;26.08.2018;1;291;18024;31.12.2020;1;18024;Naut;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1634491;201816344910565;01.11.2018;1;291;201816344910550;31.12.2020;1;201816344910550;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016344910616
1530811;201815308110625;17.08.2018;;;;31.12.2020;1;999999999919999;Naut;3. Erfiður burður-mikil burðarhjálp;6, Seldur;202015308110729
1676431;201816764310702;12.12.2018;;;;31.12.2020;1;201816764310687;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202016764310784
1676431;201816764310703;13.12.2018;;;;31.12.2020;1;201816764310687;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202016764310786
1465051;201814650510605;05.11.2018;;;;31.12.2020;1;201814650510590;Kvíga;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1676431;201916764310708;02.01.2019;;;;31.12.2020;1;201816764310687;Kvíga;3. Erfiður burður-mikil burðarhjálp;1, Settur á;202016764310783
1379111;201813791110024;20.11.2018;;;;31.12.2020;1;201813791110993;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202013791110160
1519331;201815193311216;16.11.2018;1;281;13022;31.12.2020;1;13022;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;202015193311335
1359361;201813593611099;02.11.2018;;;;31.12.2020;1;999999999919999;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013593611265
1638921;201816389210779;19.11.2018;;;;31.12.2020;1;201816389210791;Naut;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1528861;201815288612097;29.08.2018;;;;31.12.2020;1;999999999919999;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202015288612325
1459891;201814598911076;21.12.2018;;;;31.12.2020;1;201914598911097;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202014598911262
1676431;201816764310705;22.12.2018;;;;31.12.2020;1;201816764310687;Naut;4. Mjög erfiður burður-aðstoð dýralæknis;2, Alinn til kjötframleiðslu;202016764310785
1654961;201816549610725;10.11.2018;1;313;201816549610720;31.12.2020;1;201816549610720;Naut;3. Erfiður burður-mikil burðarhjálp;2, Alinn til kjötframleiðslu;202016549610849
1654961;201816549610696;10.03.2018;1;290;18026;31.12.2020;2;18026;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016549610850
1526461;201815264612763;10.06.2018;1;451;201715264612660;31.12.2020;1;201815264612843;Kvíga;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1633691;201816336910496;24.04.2018;;;;31.12.2020;1;201716336910485;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202016336910554
1256561;201812565610746;05.08.2018;2;284;18006;31.12.2020;1;18006;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202012565610866
1526591;201815265910895;13.01.2018;1;284;13011;31.12.2020;2;13011;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202015265911077
1600841;201716008412647;23.09.2017;1;276;18003;31.12.2020;2;18003;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016008413421
1671681;201716716811566;02.12.2017;1;293;18019;31.12.2020;2;18019;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202016716811788
1633691;201816336910492;13.02.2018;;;;31.12.2020;1;201716336910485;Naut;2. Léttur burður-lítil burðarhjálp;6, Seldur;202016336910553
1261421;201812614210475;20.03.2018;;;;31.12.2020;1;201812614210465;Naut;2. Léttur burður-lítil burðarhjálp;3, Slátrað/í sláturhús;202012614210579
1664911;201716649110891;25.11.2017;2;281;14008;31.12.2020;2;14008;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016649110062
1653611;201716536111819;16.11.2017;1;281;13011;31.12.2020;2;13011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016536112098
1667941;201716679410738;28.08.2017;4;288;18025;31.12.2020;2;18025;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202016679410949
1528841;201715288411212;17.12.2017;1;291;12007;31.12.2020;2;12007;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202015288411380
1397811;201713978110474;22.11.2017;2;290;18014;31.12.2020;2;18014;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202013978110551
1529411;201815289411335;01.01.2018;2;285;13011;31.12.2020;2;13011;Naut;2. Léttur burður-lítil burðarhjálp;3, Slátrað/í sláturhús;202015294112428
1666051;201716660510835;19.02.2017;2;285;18028;31.12.2020;2;18028;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016660511053
1717381;201517173810966;01.10.2015;1;289;18026;31.12.2020;4;18026;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202017173811330
1671511;201716715111544;14.05.2017;1;288;18014;31.12.2020;2;18014;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016715112029
1671351;201716713510582;06.03.2017;6;280;12090;31.12.2020;2;12090;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202016713510713
1441441;201614414410702;20.11.2016;1;290;12090;31.12.2020;3;12090;Kvíga;3. Erfiður burður-mikil burðarhjálp;1, Settur á;202014414410860
1526781;201515264612397;05.07.2015;2;288;12007;31.12.2020;4;12007;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015267811326
1453141;201514531410444;15.08.2015;1;279;18402;31.12.2020;4;18402;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202014531410546
1375411;201513754110845;30.06.2015;2;645;17045;31.12.2020;3;201813754111021;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013754111203
1571521;201615715210907;22.12.2016;1;288;13011;31.12.2020;3;13011;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202015715211136
1526571;201715265711587;19.03.2017;2;289;18011;31.12.2020;3;18011;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202015265712015
1460051;201514600510580;22.08.2015;1;298;12090;31.12.2020;3;12090;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202014600510816
1521781;201615217811539;29.08.2016;1;674;13011;31.12.2020;3;201815345910774;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015217812068
1453581;201514535810380;26.12.2015;1;287;18018;31.12.2020;3;18018;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202014535810473
1528191;201715281910765;14.05.2017;1;286;13011;31.12.2020;2;13011;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202015281910910
1447841;201614478410687;04.05.2016;3;283;18008;31.12.2020;3;18008;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202014478410844
1459301;201514593011474;08.09.2015;3;284;18002;31.12.2020;4;18002;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202014593012119
1665941;201716654912224;27.01.2017;1;281;14008;30.12.2020;3;14008;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202016659411680
1564631;201515646310789;14.10.2015;1;284;13022;30.12.2020;4;13022;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202015646311071
1528861;201615288611902;10.10.2016;;;;30.12.2020;3;999999999919999;Kvíga;1. Auðveldur burður-bar sjálf;4, Fæddist dauður;
1655481;201716554811919;17.06.2017;1;289;18026;30.12.2020;2;18026;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016554812216
1362451;201513624510943;02.09.2015;1;285;14031;30.12.2020;4;14031;Naut;1. Auðveldur burður-bar sjálf;4, Fæddist dauður;
1652701;201716527011009;25.06.2017;2;288;18022;30.12.2020;2;18022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016527011319
1264521;201712645210771;26.02.2017;3;284;13027;30.12.2020;2;13027;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202012645210917
1463181;201714690410247;02.05.2017;2;147;12007;30.12.2020;2;18006;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202014631810392
1641631;201716416311069;13.07.2017;1;280;14008;30.12.2020;2;14008;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016416311495
1661851;201516618511351;18.10.2015;3;286;201716506210455;30.12.2020;4;201716506210455;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016618511672
1524031;201615240310612;16.10.2016;1;277;18001;30.12.2020;3;18001;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;202015240310817
1524031;201615240310612;16.10.2016;1;277;18001;30.12.2020;3;18001;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;202015240310818
1666051;201616660510809;18.06.2016;2;286;18025;30.12.2020;3;18025;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202016660511052
1528161;201615281610948;23.11.2016;1;281;15022;30.12.2020;3;15022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202015281611235
1375411;201613754110940;05.11.2016;3;642;201713754111004;30.12.2020;3;201813754111021;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202013754111200
1447171;201613438610443;08.11.2016;1;281;18025;30.12.2020;3;18025;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202014471710586
1638981;201616389810962;24.12.2016;2;288;15022;30.12.2020;3;15022;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202016389811224
1654691;201516546910669;07.02.2015;1;283;13051;30.12.2020;3;13051;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;202016546910895
1459681;201414596811585;27.06.2014;3;283;13009;30.12.2020;4;13009;Naut;1. Auðveldur burður-bar sjálf;8, Drapst innan 20 daga;202014596812038
1638451;201616384510537;30.06.2016;1;277;15018;30.12.2020;3;15018;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202016384510703
1526571;201315265711264;03.08.2013;1;294;18011;30.12.2020;6;18011;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202015265712014
1344021;201513440210581;05.06.2015;1;282;14031;30.12.2020;4;14031;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202013440210738
