Búsnúmer.;Einstaklingsnr. móður;Fæð.dagur móður;Nr. síð. sæð.;Dagar - sæð. til burðar;Naut;Burðardags.;Burður nr.;Faðir;Kyn;Gangur;Afdrif;Númer kálfs
1645281;201116452811684;01.10.2011;3;285;16037;31.12.2018;5;16037;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201816452812610
1638721;201416387210499;07.01.2014;1;281;10097;31.12.2018;3;10097;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201816387210796
1670761;201516763010983;11.03.2015;2;282;16039;31.12.2018;2;16039;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201816707612157
1343741;201613437410711;27.11.2016;1;289;16051;31.12.2018;1;201713437410745;Kvíga;4. Mjög erfiður burður-aðstoð dýralæknis;4, Fæddist dauður;
1572011;201415720112041;25.06.2014;2;284;11050;31.12.2018;3;11050;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201815720112561
1521481;201615214810699;10.03.2016;;;;31.12.2018;1;201615214810720;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201815214810805
1526151;201413594220542;21.05.2014;;;;31.12.2018;3;201615281910729;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201815261510874
1591201;201415912010602;24.01.2014;4;286;201615912010746;31.12.2018;3;201615912010746;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201815912010987
1463781;201614637810644;08.09.2016;;;;31.12.2018;1;201714637810665;Naut;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1665721;201616657210605;08.11.2016;;;;31.12.2018;1;201616657210613;Naut;2. Léttur burður-lítil burðarhjálp;3, Slátrað/í sláturhús;201816657210723
1640601;201416406010736;08.10.2014;1;287;16037;31.12.2018;2;16037;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201816406011002
1654691;201616546910730;08.12.2016;1;279;10061;31.12.2018;1;10061;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201816546910815
1397811;201613978110452;30.11.2016;1;284;11007;31.12.2018;1;11007;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;201813978110503
1662281;201516622811015;01.11.2015;1;287;10077;31.12.2018;2;10077;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;201816622811218
1668271;201616682710876;12.11.2016;;;;31.12.2018;1;201616682710866;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;201816682711002
1526781;201715267811089;13.01.2017;1;286;201615267811082;31.12.2018;1;201615267811082;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201815267811199
1665981;201716659810811;25.01.2017;;;;31.12.2018;1;201616659810785;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1663921;201416639210722;23.03.2014;2;640;10081;31.12.2018;3;201716639210830;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1654981;201516549810455;12.12.2015;1;286;201616549810480;31.12.2018;2;201616549810480;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;201816549810558
1524261;201615251310929;11.12.2016;1;319;201615251310905;31.12.2018;1;201615251310905;Naut;3. Erfiður burður-mikil burðarhjálp;9, Drapst í fæðingu;
